reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
21104107002 | 104 | 104404 | Electromagnetic Theory | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104107002 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104107002&semester=IV&exam_held=December%2F2025
21104107004 | 104 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104107004 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104107004&semester=IV&exam_held=December%2F2025
21104107012 | 104 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104107012 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104107012&semester=IV&exam_held=December%2F2025
21104133008 | 104 | 104401 | Analog Circuits | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133008 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104133008&semester=IV&exam_held=December%2F2025
21104133926 | 104 | 104403 | Digital Circuits | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133926 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104133926&semester=IV&exam_held=December%2F2025
21104134006 | 104 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104134006 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104134006&semester=IV&exam_held=December%2F2025
21104134030 | 104 | 104403,104404 | Digital Circuits,Electromagnetic Theory | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104134030 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104134030&semester=IV&exam_held=December%2F2025
21104142004 | 104 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104142004 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104142004&semester=IV&exam_held=December%2F2025
21104142909 | 104 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104142909 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104142909&semester=IV&exam_held=December%2F2025
21104145005 | 104 | 100408P,104405 | MOOCs / SWAYAM / NPTEL Courses - 1,Semiconductor Physics and Devices | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104145005 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104145005&semester=IV&exam_held=December%2F2025
21104146915 | 104 | 104403 | Digital Circuits | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104146915 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104146915&semester=IV&exam_held=December%2F2025
21104157012 | 104 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104157012 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21104157012&semester=IV&exam_held=December%2F2025
21105102049 | 105 | 100404,105401 | Discrete Mathematics,Computer Organization & Architecture | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21105102049 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21105102049&semester=IV&exam_held=December%2F2025
21105121002 | 105 | 100404 | Discrete Mathematics | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21105121002 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21105121002&semester=IV&exam_held=December%2F2025
21105121004 | 105 | 105401,105403 | Computer Organization & Architecture,Operating Systems | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21105121004 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21105121004&semester=IV&exam_held=December%2F2025
21105127027 | 105 | 105401 | Computer Organization & Architecture | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21105127027 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21105127027&semester=IV&exam_held=December%2F2025
21105139026 | 105 | 105401 | Computer Organization & Architecture | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21105139026 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21105139026&semester=IV&exam_held=December%2F2025
22101108027 | 101 | 101408 | Structural Analysis | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101108027 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101108027&semester=IV&exam_held=December%2F2025
22101113007 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101113007 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101113007&semester=IV&exam_held=December%2F2025
22101117058 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101117058 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101117058&semester=IV&exam_held=December%2F2025
