reg_no | reason | detail | old_result_url | new_result_url
21101145013 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101145013 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101145013&semester=IV&exam_held=December%2F2025
21101145019 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101145019 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101145019&semester=IV&exam_held=December%2F2025
21101145020 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101145020 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101145020&semester=IV&exam_held=December%2F2025
21101145021 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101145021 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101145021&semester=IV&exam_held=December%2F2025
21101145028 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101145028 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101145028&semester=IV&exam_held=December%2F2025
21101145032 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101145032 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101145032&semester=IV&exam_held=December%2F2025
21101145036 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101145036 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101145036&semester=IV&exam_held=December%2F2025
21101146047 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101146047 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101146047&semester=IV&exam_held=December%2F2025
21101147049 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101147049 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101147049&semester=IV&exam_held=December%2F2025
21101149036 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101149036 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101149036&semester=IV&exam_held=December%2F2025
21101151036 | NEW_NO_RESULT | backend result not found | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101151036 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101151036&semester=IV&exam_held=December%2F2025
