reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
22101144043 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | 3.00 | F | D | C | 6 | 7 | 3.00 | 40^ | 24 | 64 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144043 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144043&semester=IV&exam_held=December%2F2025
22101144046 | IV | 101 | 101402 | Disaster Preparedness & Planning | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 34^ | 21 | 55 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144046 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144046&semester=IV&exam_held=December%2F2025
22101144046 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 41^ | 22 | 63 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144046 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144046&semester=IV&exam_held=December%2F2025
22101144051 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 32^ | 18 | 50 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144051 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144051&semester=IV&exam_held=December%2F2025
22101144054 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 29^ | 22 | 51 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144054 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144054&semester=IV&exam_held=December%2F2025
22101144059 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 40^ | 19 | 59 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144059 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144059&semester=IV&exam_held=December%2F2025
22101144069 | IV | 101 | 101404P | Introduction to Fluid Mechanics | practical | 1.00 | F | B | A | 8 | 9 | 1.00 | 26^ | 17 | 43 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144069 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144069&semester=IV&exam_held=December%2F2025
22101144069 | IV | 101 | 101406P | Materials, Testing & Evaluation | practical | 1.00 | F | B | A | 8 | 9 | 1.00 | 27^ | 16 | 43 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144069 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144069&semester=IV&exam_held=December%2F2025
22101144073 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 41^ | 21 | 62 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144073 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144073&semester=IV&exam_held=December%2F2025
22101144075 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 35^ | 22 | 57 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22101144075 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=22101144075&semester=IV&exam_held=December%2F2025
