reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
22103159017 | 103 | 103404 | Signals and Systems | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22103159017 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22103159017&exam_held=December%2F2025
22104102015 | 104 | 104401 | Analog Circuits | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22104102015 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22104102015&exam_held=December%2F2025
22104135031 | 104 | 104405 | Semiconductor Physics and Devices | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22104135031 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22104135031&exam_held=December%2F2025
22104157013 | 104 | 104402 | Analog Communication | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22104157013 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22104157013&exam_held=December%2F2025
22105102008 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105102008 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105102008&exam_held=December%2F2025
22105102018 | 105 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105102018 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105102018&exam_held=December%2F2025
22105102027 | 105 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105102027 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105102027&exam_held=December%2F2025
22105102036 | 105 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105102036 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105102036&exam_held=December%2F2025
22105102038 | 105 | 105403 | Operating Systems | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105102038 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105102038&exam_held=December%2F2025
22105102040 | 105 | 100404 | Discrete Mathematics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=22105102040 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2022-26&regNo=22105102040&exam_held=December%2F2025
