sem | branch_code | branch_name | subject_code | credit | total_sem_credit | status | sample_reg_nos
III | 112 | Fire Technology and Safety | 112303 | 3.00 | 25 | MATCH | 22112111002
III | 112 | Fire Technology and Safety | 112303P | 1.50 | 25 | MATCH | 22112111002
III | 112 | Fire Technology and Safety | 112304 | 3.00 | 25 | MATCH | 22112111002
III | 112 | Fire Technology and Safety | 112304P | 1.50 | 25 | MATCH | 22112111002
III | 112 | Fire Technology and Safety | 112305 | 3.00 | 25 | MATCH | 22112111002
III | 112 | Fire Technology and Safety | 112305P | 1.50 | 25 | MATCH | 22112111002
III | 112 | Fire Technology and Safety | 112306 | 4.00 | 25 | MATCH | 22112111002
III | 113 | Mining Engineering | 113301 | 3.00 | 22 | MATCH | 22113124012
III | 113 | Mining Engineering | 113302 | 3.00 | 22 | MATCH | 22113124012
III | 113 | Mining Engineering | 113303 | 3.00 | 22 | MATCH | 22113124012
III | 113 | Mining Engineering | 113304 | 3.00 | 22 | MATCH | 22113124012
III | 113 | Mining Engineering | 113304P | 1.50 | 22 | MATCH | 22113124012
III | 113 | Mining Engineering | 113305 | 3.00 | 22 | MATCH | 22113124012
III | 113 | Mining Engineering | 113305P | 1.50 | 22 | MATCH | 22113124012
III | 113 | Mining Engineering | 113306 | 4.00 | 22 | MATCH | 22113124012
III | 114 | Chemical Engineering | 114301 | 3.00 | 22 | MATCH | 22114125006
III | 114 | Chemical Engineering | 114302 | 3.00 | 22 | MATCH | 22114125006
III | 114 | Chemical Engineering | 114303 | 3.00 | 22 | MATCH | 22114125006
III | 114 | Chemical Engineering | 114303p | 1.50 | 22 | MATCH | 22114125006
III | 114 | Chemical Engineering | 114304 | 3.00 | 22 | MATCH | 22114125006
III | 114 | Chemical Engineering | 114305 | 3.00 | 22 | MATCH | 22114125006
III | 114 | Chemical Engineering | 114305p | 1.50 | 22 | MATCH | 22114125006
III | 114 | Chemical Engineering | 114306 | 4.00 | 22 | MATCH | 22114125006
III | 115 | Food Processing and Preservation | 115301 | 4.00 | 26 | MATCH | 22115117003
III | 115 | Food Processing and Preservation | 115302 | 3.00 | 26 | MATCH | 22115117003
III | 115 | Food Processing and Preservation | 115302P | 1.50 | 26 | MATCH | 22115117003
III | 115 | Food Processing and Preservation | 115303 | 3.00 | 26 | MATCH | 22115117003
III | 115 | Food Processing and Preservation | 115303P | 1.50 | 26 | MATCH | 22115117003
III | 115 | Food Processing and Preservation | 115304 | 3.00 | 26 | MATCH | 22115117003
III | 115 | Food Processing and Preservation | 115304P | 1.50 | 26 | MATCH | 22115117003
III | 115 | Food Processing and Preservation | 115305 | 4.00 | 26 | MATCH | 22115117003
III | 115 | Food Processing and Preservation | 115306 | 3.00 | 26 | MATCH | 22115117003
III | 115 | Food Processing and Preservation | 115306P | 1.50 | 26 | MATCH | 22115117003
III | 116 | Aeronautical Engineering | 116301 | 3.00 | 22 | MATCH | 22116109002
III | 116 | Aeronautical Engineering | 116302 | 3.00 | 22 | MATCH | 22116109002
III | 116 | Aeronautical Engineering | 116302p | 1.50 | 22 | MATCH | 22116109002
III | 116 | Aeronautical Engineering | 116303 | 4.00 | 22 | MATCH | 22116109002
III | 116 | Aeronautical Engineering | 116303p | 2.00 | 22 | MATCH | 22116109002
III | 116 | Aeronautical Engineering | 116304 | 3.00 | 22 | MATCH | 22116109002
